uid,agency,bureau,name,stage,impact_status,description,topic_area,classification,vendor,contracting,withheld,operational_date,has_pii,demographic_features,justification,hi_assessment_completed,hi_testing_conducted,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
NASA-530,NASA,MSFC: Marshall Space Flight Center,Solar Sail Shape Reconstruction,Pre-deployment,not-high-impact,The intended use of this model is to predict the shape of a solar sail in flight.,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-718,NASA,MSFC: Marshall Space Flight Center,TxP: Artificial Intelligence for Curation (AI-Cure),Pre-deployment,not-high-impact,"This will result in cost savings, faster data availability, improved data quality, and better support for NASA’s open science initiatives. This project enables NASA to advance data curation processes, accelerating scientific discovery while reducing manual effort and operational costs.",Science,Classical ML,,,Yes - Disclosure Risk,,,[],,,,,,,,,,[]
NASA-723,NASA,MSFC: Marshall Space Flight Center,Intelligent Chatbot for Science using Microsoft Copilot,Pre-deployment,not-high-impact,"It uses Microsoft's Large Language model with scientifically curated information from NASA's VEDA (Visualization, Exploration, and Data Analysis) platform to assist users in search, discovery and analysis.",Science,Generative AI,,,No,,,[],,,,,,,,,,[]
NASA-775,NASA,MSFC: Marshall Space Flight Center,Foundation Model for Lunar Science,Pre-deployment,not-high-impact,"The LRO Foundation Model (FM) is useful because it offers key advantages over traditional ML: Generalization: It can learn general-purpose representations that generalize better across different tasks and even data from different instruments with minimal fine-tuning. Low-Data Regimes: It excels in transfer learning, allowing knowledge from pretraining on massive unlabeled datasets to be effectively applied to downstream tasks that only have limited labeled data. Efficiency: It significantly reduces the dependence on time-consuming manual data labeling by using self-supervised pretraining on vast amounts of unlabeled LRO data. Scientific Advancement: It enables understanding of lunar features by jointly analyzing multiple data modalities, leading to new scientific insights and supporting mission-critical activities like landing site selection.",Science,Other,,,No,,,[],,,,,,,,,,[]
NASA-920,NASA,MSFC: Marshall Space Flight Center,Adaptive State-Space Control via Neuromorphic Computing,Pre-deployment,not-high-impact,"This use case addresses the limitations of traditional, fixed-logic control systems by implementing an adaptive state-space model on neuromorphic hardware. By representing a system's states and transitions as a network of spiking neurons and plastic synapses, the governing matrices of the control model are transformed from static constants into dynamic variables that evolve based on real-time sensory input and operational feedback. This enables the system to autonomously learn from its environment, optimize its own control logic, and adapt to unforeseen conditions, creating a foundation for truly intelligent and resilient autonomous systems in fields such as advanced robotics and aerospace.",Science,Agentic AI,,,No,,,[],,,,,,,,,,[]
NASA-921,NASA,MSFC: Marshall Space Flight Center,AI-Enhanced Mission Operations Reporting & Decision Support System,Pre-deployment,not-high-impact,"The proposed solution would leverage Natural Language Processing (NLP) to enable controllers to initiate CHITs using plain language, while machine learning models would proactively analyze data to identify emerging trends and provide context-aware smart search results from historical mission data. Additionally, the AI would perform an initial automated impact assessment on new requests, flagging potential risks to enhance the speed and safety of decision-making.",Science,NLP,,,No,,,[],,,,,,,,,,[]
NASA-922,NASA,MSFC: Marshall Space Flight Center,Athena (EM32 Document Intelligence),Pre-deployment,not-high-impact,"Converts 490K+ EM32 repository files into a searchable knowledge fabric. Supports 691+ file extensions, builds cross-document graphs, enables text-to-image queries, OCR, and compliance-aware retrieval. Provides sub-second query response for cached content.",Science,NLP,,,No,,,[],,,,,,,,,,[]
NASA-923,NASA,MSFC: Marshall Space Flight Center,Autonomous Navigation Decision Making for Lunar/Martian Rovers,Pre-deployment,not-high-impact,"Enable a rover (or rover swarm) to autonomously collect lunar regolith, haul it to a worksite, and execute construction tasks (e.g., berms, landing pad layers, trenching, or feedstock staging for sintering/printing) using AI for perception, mapping, planning, control, and health monitoring.",Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-924,NASA,MSFC: Marshall Space Flight Center,Autonomous Object Manipulation Decision Making for Lunar/Martian Rovers,Pre-deployment,not-high-impact,"Allow a robotic arm(s) on the lunar surface (or inside a habitat/lander bay) to autonomously identify, retrieve, and swap between different tools and payloads, then execute a sequence of tasks (e.g., drilling, sample collection, regolith manipulation, structural assembly, or power connector mating).",Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-925,NASA,MSFC: Marshall Space Flight Center,BoundState (Compliance & Risk Engine),Pre-deployment,not-high-impact,"Validates engineering parts, materials, and BOMs against NASA, ASTM, and program standards. Flags PFAS/non-compliant risks, generates property-based alternative recommendations with confidence bounds. Converts compliance into proactive, evidence-based design intelligence.",Science,Generative AI,,,No,,,[],,,,,,,,,,[]
NASA-927,NASA,MSFC: Marshall Space Flight Center,Data analysis and pattern recognition,Deployed,not-high-impact,"We are often found using optical evaluation on specimens that do not necessarily have a textbook approach to evaluation. By feeding into the knowledge base and creating an agent Chat GSFC can give some reasonable evaluation and cross reference our thoughts with related publications. It can also recommend test data and perform evaluations of the raw data, say from an XRD readout rather quickly as compared to doing it by hand. The key is to feed it known calibrated data for its knowledge base.",Science,Agentic AI,,In-house Development,No,04/29/2025 00:00:00,No,[],,,,,,,,,,[]
NASA-928,NASA,MSFC: Marshall Space Flight Center,Dirty Vacuum rated 6-Axis Robotic Arm Toolpathing,Deployed,not-high-impact,"MSFC has acquired a custom dirty vacuum rated 6-axis robotic arm from Motiv space systems. This robotic arm while purpose built for manufacturing does require custom toolpathing codes. I used Chat GSFC extensively to write a custom additive manufacturing slicer, gcode parser, and some quality of life upgrades for using the system. We completed various world wide first additive manufacturing builds on our home grown directed energy deposition system using these codes. It also was used to de-bug and work through any issues and errors that arose",Science,Classical ML,,In-house Development,No,04/29/2025 00:00:00,No,[],,,,,,,,,,[]
NASA-929,NASA,MSFC: Marshall Space Flight Center,Gap-filled and downscaled vegetation composited index derived from satellite optical observations,Pre-deployment,not-high-impact,This project is in partnership with ARC and GeoNEX under the Ecological Conservation NASA Earth Action program. It seeks to leverage Harmonized Landsat Sentinel-2 (HLS) data to provide gap-filled/downscaled NDVI composite using NASA's Prithvi model.,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-930,NASA,MSFC: Marshall Space Flight Center,Lunar Foundation Model for Planetary Sciences,Pre-deployment,not-high-impact,"Foundation Model trained on LRO WAC, NAC, and RTM imagery to assist lunar scientists with AI applications regarding the surface processes of the moon",Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-931,NASA,MSFC: Marshall Space Flight Center,Lunar Rover Localization,Pre-deployment,not-high-impact,high resolution localized maps,Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-932,NASA,MSFC: Marshall Space Flight Center,Machine learning for prediction and factor analysis of laser forming parameters,Pilot,not-high-impact,"Various machine learning techniques (neural network, support vector machine, etc.) employed to predict bending angle of sheet metal subjected to laser forming processes and to elucidate most pertinent factors via SHAP analysis",Science,Classical ML,,In-house Development,No,,No,[],,,,,,,,,,[]
NASA-933,NASA,MSFC: Marshall Space Flight Center,MIRA (MAPTIS NLP Interface),Pre-deployment,not-high-impact,"Transforms legacy MAPTIS test reports into structured, queryable data. Enables natural language queries across test classes with validated answers tied to MAPTIS IDs, test dates, and methods. Achieved semantic parity for Flammability and Arc Tracking classes; pathway established for remaining 22 classes.",Science,NLP,,,No,,,[],,,,,,,,,,[]
NASA-934,NASA,MSFC: Marshall Space Flight Center,"Object classification, change detection, and anomaly detection in LiDAR and other point cloud datasets.",Pre-deployment,not-high-impact,"Leveraging AI for point cloud analysis may advance accuracy and efficiency of: •Point cloud classification, enhancing capabilities for LiDAR based autonomy and navigation. •Change detection, enriching scientific investigations of geomorphology and surface processes. •Anomaly detection, enhancing inspection of hardware and monitoring of manufacturing processes.",Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-935,NASA,MSFC: Marshall Space Flight Center,RDUST Regolith Dust Universal System Tracker,Pilot,not-high-impact,AI for real-time dust environment simulation and analysis,Science,Classical ML,,In-house Development,No,,No,[],,,,,,,,,,[]
NASA-936,NASA,MSFC: Marshall Space Flight Center,Research to Operations Platform,Pre-deployment,not-high-impact,Platform that leverages foundation models created by NASA IMPACT AI for Science to allow users to inference on the fine-tuned models and visualize the results,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-753,NASA,OPS: Office of Protective Services,Intelligent Camera Analytics for Security and Operations,Deployed,high-impact,"By leveraging AI-driven video surveillance, organizations can significantly improve efficiency and security outcomes. Automated monitoring reduces the need for constant human oversight, lowering operational costs while also decreasing the likelihood of missed incidents. Faster and more accurate detection of anomalies—such as unauthorized access, unattended objects, or unusual behavior—enhances safety for personnel and protects critical assets. In addition, video analytics provide valuable secondary benefits, including occupancy tracking, traffic flow analysis, and facility utilization insights that support data-driven decision-making. These capabilities enable scalability without requiring proportional increases in staffing, delivering measurable return on investment through reduced false alarms, quicker response times, improved compliance with safety protocols, and optimized use of resources.",Law Enforcement,Computer Vision,"Milestone, Genetec, Verkada, Lenel",Vendor Purchased,No,01/01/2016 00:00:00,No,[],,,,,,,,,,[]
